WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
ALCIANOPHILIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COOPERATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
OFFERED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
SEGREGATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
NEONATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
PARTURITION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SPECIALIST,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ORGANIZATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
ONCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],12,2.005395031886706
GARAMYCIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INJECTABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INGREDIENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INTRAVENOUSLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
TOLERANCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
PHARMACOKINETICS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PARENTERALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FOLLOWS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
SLIGHT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
SAFE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
ALONG,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
GENUINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
STAFF,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
GO,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
REASSURING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
VALIDATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
MANIFESTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
COPING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
STRESS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
IMPOSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
REFER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PSYCHIATRIST,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONSULTATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BREAKDOWN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
INTERVENTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
CLINICIAN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
CRUCIAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
INTEGRAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
DECOMPENSATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
IMPACTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
MICROSCOPICALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ORGANIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
VENTRICLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
EXTENSIVELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
CLARIFY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SURROUNDING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ETIOLOGY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
BELONGED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
VESTICULAR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
III,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
TRENDS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INTENSITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
METACHROMATIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
ASSIGNMENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LYKKEGAARD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
JACOBSEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
THUESEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PEDERSEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SPROUL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HUANG,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
INTENSIVELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DIABETIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
NONDIABETIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
IMMUNOPEROXIDASE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UNDIFFERENTIATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
BIND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
ISLET,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
SELECTIVELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
REACTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
ELEMENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
BETA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ESTEROLYTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
BAEE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TLA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PLOTTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
AUGMENTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SALIVATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
COUNTRIES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
RISEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ORIENTED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PROGRAMS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
OVERALL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],10,2.084576277934331
UNDERDEVELOPED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SELECTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
TRAITS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SCHEDULE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
AXIAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TRIRADIUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DPAT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PARATHENAR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
VENTRICULAR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
SEPTAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
BSD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SCORED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
VSD,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PULMONIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
STENOSIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ELEVEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],13,1.9706329256274941
DAVID,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CLOSER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ANALYTICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
FOCUSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
PARANASAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
SINUSES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
OPACIFICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
MAXILLARY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PARASINUSITIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SELDOM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
AGENESIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
FRONTAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
EXCLUDING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONDUCTIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
HEARING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
CONDUCTION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ENCOUNTERED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],18,1.8293037728310249
MERELY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
STANDARDS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],8,2.1814862909423876
STRINGENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
EIGHTEEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
REFLECTING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
TREE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
UNPREDICTABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
ANTICIPATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
FIG,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
DEPLETED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
HEINRICH,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BARTELS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ERYTHROBLASTIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HYPERPLASIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
REGULATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
REINVESTIGATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ENTEROPATHY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
GASTRECTOMY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
QUANTIFICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UROGENITAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
AGAROSE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
INDIAN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
HEPATITIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
TELANGIECTASIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
NEURAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
ANENCEPHALY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UTILITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
PEDIATRICS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
TRACHEOSTOMY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CROSS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ENDOTRACHEAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
AEROSOLIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INSTILLATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
FAILS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
EXPRESSION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],7,2.2394782379200744
ADOLESCENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],15,1.9084850188786497
CEPHALEXIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
DIVERTICULOSIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CROHN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CHOLESTYRAMINE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SULFATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
FIBRILLAR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SEPHAROSE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
DEGRADED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BOROHYDRIDE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FRACTIONATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
RESINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CHAINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
ACIDITY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
NEUTRAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],11,2.043183592776106
OLIGOSACCHARIDES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RESIDUE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SULFATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LINKED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
TROPOMYOSIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
IMMUNOFLUORESCENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
VISUALIZE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
LOCALIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],6,2.3064250275506875
NONMUSCLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PRODUCES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
FLUORESCENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
COMPOSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
COINCIDENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OPTICS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
EPIFLUORESCENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ACTIN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONTINUOUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],9,2.130333768495006
FLUORESCENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
